코드_ID,대분류코드,중분류코드,코드명,코드설명,사용여부,등록일,수정일
111001,111,1,인적변동정보,,Y,2017-01-10,2017-01-10
111002,111,2,전출입변동정보,,Y,2017-01-10,2017-01-10
111003,111,3,보장변동정보,,Y,2017-01-10,2017-01-10
112000,112,0,중복순위구분코드,중복순위구분코드를 관리한다.,Y,2017-01-11,2017-01-11
112004,112,4,중복 선순위 사업,,Y,2017-01-11,2017-01-11
112005,112,5,중복 후순위 사업,,Y,2017-01-11,2017-01-11
113000,113,0,사후조치유형코드,사후조치유형코드를 관리한다.,Y,2017-01-11,2017-01-11
113002,113,2,중도포기,,Y,2017-01-11,2017-01-11
113003,113,3,계속참여,,Y,2017-01-11,2017-01-11
135000,135,0,보수유형,사업운영 보수유형을 관리한다.,Y,2016-12-22,2016-12-22
135001,135,1,공공,,Y,2016-12-22,2016-12-22
135002,135,2,시장,,Y,2016-12-22,2016-12-22
210005,210,5,계약직,,Y,2017-03-20,2017-03-20
884000,884,0,고친등록유형코드,고친 사용자 등록 유형을 정의 합니다.,Y,2016-12-23,2016-12-23
884001,884,1,고친기업,,Y,2016-12-23,2016-12-23
884002,884,2,회계사,,Y,2016-12-23,2016-12-23
970000,970,0,평가진행상태,평가진행상태를 관리한다.,Y,2017-02-02,2017-02-02
970001,970,1,평가대기,평가대기,Y,2017-02-02,2017-02-02
970002,970,2,평가중,평가중,Y,2017-02-02,2017-02-02
970003,970,3,평가종료,평가종료,Y,2017-02-02,2017-02-02
971000,971,0,평가제외구분,평가제외구분을 관리한다.,Y,2017-02-02,2017-02-02
971001,971,1,수행기관,수행기관,Y,2017-02-02,2017-02-02
971002,971,2,사업유형,사업유형,Y,2017-02-02,2017-02-02
971003,971,3,사업명,사업명,Y,2017-02-02,2017-02-02
972000,972,0,평가그룹별계산법,평가그룹별계산법을 구분하여 관리한다.,Y,2017-02-02,2017-02-02
972001,972,1,합산,점수를 합산하여 계산한다.,Y,2017-02-02,2017-02-02
972002,972,2,평균,점수의 평균을 계산한다.,Y,2017-02-02,2017-02-02
973000,973,0,평가이의신청사용자유형,평가 이의신청사용자유형을 관리한다.,Y,2017-02-02,2017-02-02
973001,973,1,수행기관,수행기관에서 이의 신청을 한다.,Y,2017-02-02,2017-02-02
973002,973,2,시군구,시군구에서 이의 신청을 한다.,Y,2017-02-02,2017-02-02
974000,974,0,의사소통여부,노노케어대상자의 의사소통여부코드를 관리한다,Y,2017-02-02,2017-02-02
974001,974,1,완전가능,의사소통에 문제가 없는 경우,Y,2017-02-02,2017-02-02
974002,974,2,경미불편,의사소통에 약간의 불편한점이 있는 경우,Y,2017-02-02,2017-02-02
974003,974,3,심각불편,의사소통에 불편함이 있어서 심각한 수준인 경우,Y,2017-02-02,2017-02-02
975000,975,0,거동가능정도,노노케어대상자의 거동가능정도를 관리한다,Y,2017-02-02,2017-02-02
